"Jahr";"Monat";"Lehrstellen_Total";"Lehrstellen_Offen";"Lehrstellen_Besetzt"
2013;9;10403;9392;1011
2013;10;11158;8635;2523
2013;11;11324;6327;4997
2013;12;11452;5465;5987
2014;1;11782;4290;7492
2014;2;11934;3814;8120
2014;3;12087;3027;9060
2014;4;12179;2348;9831
2014;5;12260;1974;10286
2014;6;12290;1583;10707
2014;7;12317;1058;11259
2014;8;NA;NA;NA
2014;9;10608;9657;951
2014;10;11442;8914;2528
2014;11;11618;6711;4907
2014;12;11702;5790;5912
2015;1;12001;4445;7556
2015;2;12122;3883;8239
2015;3;12301;3265;9036
2015;4;12400;2557;9843
2015;5;12474;2181;10293
2015;6;12507;1685;10822
2015;7;12482;1307;11175
2015;8;NA;NA;NA
2015;9;11123;9840;1283
2015;10;11792;9069;2723
2015;11;11950;6874;5076
2015;12;12057;5908;6149
2016;1;12350;4591;7759
2016;2;12498;3935;8563
2016;3;12594;3276;9318
2016;4;12659;2583;10076
2016;5;12681;2067;10614
2016;6;12719;1641;11078
2016;7;12719;1395;11324
2016;8;NA;NA;NA
2016;9;10548;9177;1371
2016;10;11027;8655;2372
2016;11;11276;6816;4460
2016;12;11403;5881;5522
2017;1;11677;4577;7100
2017;2;11850;4043;7807
2017;3;11976;3354;8622
2017;4;12039;2853;9186
2017;5;12088;2376;9712
2017;6;12116;1955;10161
2017;7;12111;1562;10549
2017;8;NA;NA;NA
2017;9;10367;9572;795
2017;10;11122;9075;2047
2017;11;11281;7542;3739
2017;12;11361;6787;4574
2018;1;11562;5540;6022
2018;2;11737;4852;6885
2018;3;11828;4115;7713
2018;4;11694;3273;8421
2018;5;11770;2688;9082
2018;6;11872;2370;9502
2018;7;11923;1854;10069
2018;8;NA;NA;NA
2018;9;9098;8168;930
2018;10;10103;8059;2044
2018;11;10455;6583;3872
2018;12;10710;5464;5246
2019;1;11011;4722;6289
2019;2;11219;4244;6975
2019;3;11326;3675;7651
2019;4;11523;3146;8377
2019;5;11613;2582;9031
2019;6;11664;2260;9404
2019;7;11704;1970;9734
2019;8;NA;NA;NA
2019;9;9161;8153;1008
2019;10;10118;7762;2356
2019;11;10500;6439;4061
2019;12;10633;5785;4848
2020;1;11135;4631;6504
2020;2;11345;4231;7114
2020;3;11421;3642;7779
2020;4;11483;3304;8179
2020;5;11584;2898;8686
2020;6;11644;2498;9146
2020;7;11631;2179;9452
2020;8;NA;NA;NA
2020;9;8834;7726;1108
2020;10;9258;7244;2014
2020;11;9132;5787;3345
2020;12;9239;5281;3958
2021;1;9325;4586;4739
