Jahr,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
2013,4462,6006,7295,8532,9594,10612,11914,12406,12479,12369,12266,12205
2014,4528,5699,6998,8231,9182,10568,11994,12454,12422,12326,12197,12138
2015,4335,6097,7287,8513,9455,10693,12128,12506,12500,12406,12291,12230
2016,4997,6201,7300,8578,9508,10940,12116,12594,12605,12494,12341,12307
2017,4382,5912,7272,8233,9177,10455,11896,12572,12568,12481,12339,12272
2018,4254,5759,7062,8427,9213,10348,12091,12677,12685,12583,12473,12416
2019,4755,6321,7428,8441,9412,10604,12094,12705,12713,12597,12446,12353
2020,4866,6110,7861,8668,9549,10795,12413,12889,12886,12775,12636,12580
2021,4672,6024,7394,8443,9543,10691,11990,12738,,,,
